Rank,Title,Year,Runtime,Genre,Plot,Language,Poster,Metascore,rating,imdb_title,tomatoURL
1,The Shawshank Redemption,1994,142 min,"Crime, Drama","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BODU4MjU4NjIwNl5BMl5BanBnXkFtZTgwMDU2MjEyMDE@._V1_SX300.jpg,80,9.3,tt0111161,http://www.rottentomatoes.com/m/shawshank_redemption/
2,The Godfather,1972,175 min,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"English, Italian, Latin",https://images-na.ssl-images-amazon.com/images/M/MV5BZTRmNjQ1ZDYtNDgzMy00OGE0LWE4N2YtNTkzNWQ5ZDhlNGJmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,100,9.2,tt0068646,http://www.rottentomatoes.com/m/godfather/
3,The Godfather: Part II,1974,202 min,"Crime, Drama","The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on the family crime syndicate.","English, Italian, Spanish, Latin, Sicilian",https://images-na.ssl-images-amazon.com/images/M/MV5BMjZiNzIxNTQtNDc5Zi00YWY1LThkMTctMDgzYjY4YjI1YmQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,85,9,tt0071562,http://www.rottentomatoes.com/m/godfather_part_ii/
4,The Dark Knight,2008,152 min,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.","English, Mandarin",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,82,9,tt0468569,http://www.rottentomatoes.com/m/the_dark_knight/
5,12 Angry Men,1957,96 min,"Crime, Drama",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BODQwOTc5MDM2N15BMl5BanBnXkFtZTcwODQxNTEzNA@@._V1_SX300.jpg,96,8.9,tt0050083,http://www.rottentomatoes.com/m/1000013-12_angry_men/
6,Schindler's List,1993,195 min,"Biography, Drama, History","In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.","English, Hebrew, German, Polish",https://images-na.ssl-images-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,93,8.9,tt0108052,http://www.rottentomatoes.com/m/schindlers_list/
7,Pulp Fiction,1994,154 min,"Crime, Drama","The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","English, Spanish, French",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMTA5OTAzMl5BMl5BanBnXkFtZTgwNjA5MDc3NjE@._V1_SX300.jpg,94,8.9,tt0110912,http://www.rottentomatoes.com/m/pulp_fiction/
8,The Lord of the Rings: The Return of the King,2003,201 min,"Adventure, Drama, Fantasy",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"English, Quenya, Old English, Sindarin",https://images-na.ssl-images-amazon.com/images/M/MV5BYWY1ZWQ5YjMtMDE0MS00NWIzLWE1M2YtODYzYTk2OTNlYWZmXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,94,8.9,tt0167260,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king/
9,"The Good, the Bad and the Ugly",1966,178 min,Western,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Italian, English",https://images-na.ssl-images-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_SX300.jpg,90,8.9,tt0060196,http://www.rottentomatoes.com/m/the_good_the_bad_and_the_ugly/
10,Fight Club,1999,139 min,Drama,"An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BZGY5Y2RjMmItNDg5Yy00NjUwLThjMTEtNDc2OGUzNTBiYmM1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,66,8.8,tt0137523,http://www.rottentomatoes.com/m/fight_club/
